,SalesKey,DateKey,channelKey,StoreKey,ProductKey,PromotionKey,UnitCost,UnitPrice,SalesQuantity,ReturnQuantity,ReturnAmount,DiscountQuantity,DiscountAmount,TotalCost,SalesAmount
522826,994365,2013-12-31 00:00:00.000,2,199,561,22,70.87,139.0,78,0,0.0,7,194.6,5527.86,10647.4
2156772,3287833,2013-12-31 00:00:00.000,1,220,1314,28,94.27,205.0,8,0,0.0,0,0.0,754.16,1640.0
1615377,2095250,2013-12-31 00:00:00.000,2,306,531,28,224.97,679.0,8,0,0.0,4,543.2,1799.76,4888.8
1712036,2237759,2013-12-31 00:00:00.000,1,117,984,22,91.05,198.0,13,0,0.0,4,158.4,1183.65,2415.6
638108,834721,2013-12-31 00:00:00.000,2,199,589,22,321.44,699.0,13,0,0.0,1,139.8,4178.72,8947.2
1385641,2894493,2013-12-31 00:00:00.000,1,244,1303,28,43.69,95.0,8,0,0.0,0,0.0,349.52,760.0
664883,511504,2013-12-31 00:00:00.000,1,43,42,22,106.69,232.0,13,0,0.0,2,92.8,1386.97,2923.2
662606,18660,2013-12-31 00:00:00.000,1,173,730,22,62.54,136.0,13,0,0.0,4,108.8,813.02,1659.2
1548147,2151544,2013-12-31 00:00:00.000,1,209,774,28,7.9,15.5,16,0,0.0,2,6.2,126.4,241.8
1711967,2149562,2013-12-31 00:00:00.000,1,93,123,22,128.76,279.99,13,0,0.0,4,223.992,1673.88,3415.878
664901,524843,2013-12-31 00:00:00.000,1,179,1061,22,194.82,588.0,13,0,0.0,2,235.2,2532.66,7408.8
1385653,2911508,2013-12-31 00:00:00.000,1,230,1228,28,536.74,1620.0,8,0,0.0,0,0.0,4293.92,12960.0
662780,181748,2013-12-31 00:00:00.000,1,182,1098,22,157.73,343.0,13,0,0.0,4,274.4,2050.49,4184.6
1548208,2489691,2013-12-31 00:00:00.000,1,222,190,28,29.01,56.9,16,0,0.0,2,22.76,464.16,887.64
2188635,3343624,2013-12-31 00:00:00.000,2,307,1215,23,81.57,160.0,52,0,0.0,6,144.0,4241.64,8176.0
1548223,2587870,2013-12-31 00:00:00.000,1,305,1046,28,143.48,312.0,16,0,0.0,2,124.8,2295.68,4867.2
1548235,2658717,2013-12-31 00:00:00.000,1,215,398,28,195.24,382.95,16,0,0.0,2,153.18,3123.84,5974.02
1617904,3121424,2013-12-31 00:00:00.000,1,235,592,28,254.4,499.0,8,0,0.0,2,199.6,2035.2,3792.4
520092,121741,2013-12-31 00:00:00.000,2,307,2504,23,5.09,9.99,520,0,0.0,4,5.994,2646.8,5188.806
519889,1525621,2013-12-31 00:00:00.000,2,307,173,23,45.83,89.9,104,0,0.0,5,67.425,4766.32,9282.175
1987188,2794216,2013-12-31 00:00:00.000,1,273,1171,23,301.21,655.0,13,1,655.0,2,196.5,3614.52,8318.5
2269746,3244351,2013-12-31 00:00:00.000,1,230,406,28,195.24,382.95,8,1,382.95,4,306.36,1366.68,2757.24
1998074,1969979,2013-12-31 00:00:00.000,3,200,597,22,70.87,139.0,52,1,139.0,5,139.0,3685.24,7089.0
1548081,1788829,2013-12-31 00:00:00.000,1,202,1424,28,91.97,200.0,16,0,0.0,2,80.0,1471.52,3120.0
522041,396794,2013-12-31 00:00:00.000,2,199,1337,22,21.82,47.44,39,0,0.0,7,66.416,850.98,1783.744
1712302,2532891,2013-12-31 00:00:00.000,1,38,1041,22,76.53,231.0,13,0,0.0,4,184.8,994.89,2818.2
1712300,2528642,2013-12-31 00:00:00.000,1,11,1611,22,73.57,159.99,13,0,0.0,4,127.992,956.41,1951.878
522727,566708,2013-12-31 00:00:00.000,2,199,441,22,117.21,229.9,78,0,0.0,8,367.84,9142.38,17564.36
1363656,2272378,2013-12-31 00:00:00.000,1,254,1383,23,6.62,12.99,26,0,0.0,0,0.0,172.12,337.74
1712240,2453285,2013-12-31 00:00:00.000,1,50,1496,22,132.44,288.0,13,0,0.0,4,230.4,1721.72,3513.6
1712225,2440380,2013-12-31 00:00:00.000,1,131,1219,22,305.81,665.0,13,0,0.0,4,532.0,3975.53,8113.0
1717682,2770410,2013-12-31 00:00:00.000,1,187,397,22,321.44,699.0,13,0,0.0,3,419.4,4178.72,8667.6
726701,302416,2013-12-31 00:00:00.000,2,199,1659,22,86.14,259.99,12,0,0.0,1,51.998,1033.68,3067.882
522374,1427631,2013-12-31 00:00:00.000,2,199,1246,22,80.55,158.0,52,0,0.0,3,94.8,4188.6,8121.2
664827,459181,2013-12-31 00:00:00.000,1,69,861,22,13.77,29.95,13,0,0.0,2,11.98,179.01,377.37
1712108,2308905,2013-12-31 00:00:00.000,1,64,1514,22,95.65,208.0,13,0,0.0,4,166.4,1243.45,2537.6
1548002,3023923,2013-12-31 00:00:00.000,1,248,484,28,65.77,129.0,16,0,0.0,3,77.4,1052.32,1986.6
2013110,2903335,2013-12-31 00:00:00.000,1,227,1200,22,331.32,1000.0,8,1,1000.0,3,600.0,2319.24,7400.0
522080,1191830,2013-12-31 00:00:00.000,2,199,224,22,275.46,599.0,39,0,0.0,7,838.6,10742.94,22522.4
2215355,3336941,2013-12-31 00:00:00.000,1,32,165,22,389.26,763.51,13,0,0.0,2,305.404,5060.38,9620.226
1615353,2016088,2013-12-31 00:00:00.000,2,306,541,28,321.44,699.0,8,0,0.0,4,559.2,2571.52,5032.8
522043,524026,2013-12-31 00:00:00.000,2,199,1445,22,123.24,268.0,39,0,0.0,11,589.6,4806.36,9862.4
2018269,2664771,2013-12-31 00:00:00.000,1,193,148,22,960.82,2899.99,6,1,2899.99,3,1739.994,5764.92,15659.946
356064,552909,2013-12-31 00:00:00.000,2,199,152,22,392.6,1184.97,13,0,0.0,0,0.0,5103.8,15404.61
663778,1206940,2013-12-31 00:00:00.000,1,6,1444,22,105.77,230.0,13,0,0.0,4,184.0,1375.01,2806.0
491152,562368,2013-12-31 00:00:00.000,1,278,5,23,11.0,21.57,26,0,0.0,4,12.942,286.0,547.878
2026371,2782960,2013-12-31 00:00:00.000,4,309,1609,28,86.14,259.99,8,1,259.99,4,207.992,602.98,1871.928
1686715,2103275,2013-12-31 00:00:00.000,2,199,1102,22,157.73,343.0,13,0,0.0,2,137.2,2050.49,4321.8
1618974,2088771,2013-12-31 00:00:00.000,1,203,380,28,430.38,1299.0,8,0,0.0,3,779.4,3443.04,9612.6
1654512,1703908,2013-12-31 00:00:00.000,1,115,1578,22,72.56,219.0,6,0,0.0,4,175.2,435.36,1138.8
2214673,3243490,2013-12-31 00:00:00.000,1,194,403,22,321.44,699.0,13,0,0.0,3,419.4,4178.72,8667.6
1654488,1572867,2013-12-31 00:00:00.000,1,188,318,22,330.99,999.0,6,0,0.0,4,799.2,1985.94,5194.8
1364978,2887339,2013-12-31 00:00:00.000,1,81,379,22,166.2,326.0,26,0,0.0,0,0.0,4321.2,8476.0
491156,585634,2013-12-31 00:00:00.000,1,269,803,23,9.13,17.9,26,0,0.0,4,10.74,237.38,454.66
1962671,1994528,2013-12-31 00:00:00.000,2,307,386,23,430.38,1299.0,12,1,1299.0,1,194.85,5164.56,15393.15
648202,863126,2013-12-31 00:00:00.000,1,274,1322,23,15.17,32.99,13,0,0.0,4,19.794,197.21,409.076
616664,756223,2013-12-31 00:00:00.000,1,190,878,22,43.06,129.95,6,0,0.0,2,51.98,258.36,727.72
1696522,1576921,2013-12-31 00:00:00.000,1,261,1005,23,88.79,268.0,13,0,0.0,3,120.6,1154.27,3363.4
2026390,2874188,2013-12-31 00:00:00.000,4,309,1476,28,132.44,288.0,8,1,288.0,4,230.4,927.08,2073.6
616624,632735,2013-12-31 00:00:00.000,1,81,374,22,430.38,1299.0,6,0,0.0,2,519.6,2582.28,7274.4
648165,786197,2013-12-31 00:00:00.000,1,296,92,23,49.69,149.99,13,0,0.0,4,89.994,645.97,1859.876
1653686,2864181,2013-12-31 00:00:00.000,2,307,884,23,49.7,150.0,6,0,0.0,1,22.5,298.2,877.5
1653679,2670288,2013-12-31 00:00:00.000,2,307,551,23,760.38,2295.0,6,0,0.0,1,344.25,4562.28,13425.75
1653670,2450419,2013-12-31 00:00:00.000,2,307,1409,23,195.15,589.0,6,0,0.0,1,88.35,1170.9,3445.65
602850,1463932,2013-12-31 00:00:00.000,4,310,1007,23,143.26,281.0,6,0,0.0,3,126.45,859.56,1559.55
602855,1507261,2013-12-31 00:00:00.000,4,310,950,23,96.08,290.0,6,0,0.0,3,130.5,576.48,1609.5
1654790,2866558,2013-12-31 00:00:00.000,1,39,1578,22,72.56,219.0,6,0,0.0,4,175.2,435.36,1138.8
1654738,2646955,2013-12-31 00:00:00.000,1,101,1342,22,13.92,42.0,6,0,0.0,4,33.6,83.52,218.4
2214769,3338534,2013-12-31 00:00:00.000,1,155,985,22,76.53,231.0,13,0,0.0,3,138.6,994.89,2864.4
2026247,1945914,2013-12-31 00:00:00.000,4,309,1109,28,144.52,436.2,8,1,436.2,4,348.96,1011.64,3140.64
936307,788786,2013-12-31 00:00:00.000,1,189,1636,22,5.82,12.66,13,1,12.66,4,10.128,69.84,154.452
645896,1483519,2013-12-31 00:00:00.000,2,307,968,23,85.95,186.9,13,0,0.0,3,84.105,1117.35,2345.595
491472,246012,2013-12-31 00:00:00.000,1,251,509,23,70.87,139.0,26,0,0.0,2,41.7,1842.62,3572.3
936271,608129,2013-12-31 00:00:00.000,1,284,763,22,10.99,23.9,13,1,23.9,4,19.12,131.88,291.58
2214754,3324752,2013-12-31 00:00:00.000,1,190,1388,22,15.17,32.99,13,0,0.0,3,19.794,197.21,409.076
936241,456779,2013-12-31 00:00:00.000,1,284,1520,22,128.76,280.0,13,1,280.0,4,224.0,1545.12,3416.0
936117,1195073,2013-12-31 00:00:00.000,1,62,595,22,83.16,251.0,13,1,251.0,1,50.2,997.92,3212.8
1364973,2882113,2013-12-31 00:00:00.000,1,179,872,22,10.69,20.96,26,0,0.0,0,0.0,277.94,544.96
2026279,2161516,2013-12-31 00:00:00.000,1,201,1519,28,142.56,310.0,8,1,310.0,4,248.0,997.92,2232.0
1654654,2265344,2013-12-31 00:00:00.000,1,95,993,22,143.26,281.0,6,0,0.0,4,224.8,859.56,1461.2
1654650,2258871,2013-12-31 00:00:00.000,1,19,374,22,430.38,1299.0,6,0,0.0,4,1039.2,2582.28,6754.8
1616369,2335425,2013-12-31 00:00:00.000,4,309,658,28,69.25,209.0,8,0,0.0,1,41.8,554.0,1630.2
2214714,3281728,2013-12-31 00:00:00.000,1,2,413,22,275.46,599.0,13,0,0.0,3,359.4,3580.98,7427.6
491399,1526695,2013-12-31 00:00:00.000,1,267,1269,23,25.47,49.96,26,0,0.0,4,29.976,662.22,1268.984
491390,1499119,2013-12-31 00:00:00.000,1,277,1349,23,5.09,9.99,26,0,0.0,4,5.994,132.34,253.746
634179,950945,2013-12-31 00:00:00.000,4,308,412,22,195.24,382.95,13,0,0.0,2,153.18,2538.12,4825.17
1696525,1581156,2013-12-31 00:00:00.000,1,261,252,23,183.54,360.0,13,0,0.0,3,162.0,2386.02,4518.0
1653645,1862400,2013-12-31 00:00:00.000,2,307,1116,23,213.7,645.0,6,0,0.0,1,96.75,1282.2,3773.25
490936,1289887,2013-12-31 00:00:00.000,1,259,177,23,29.01,56.9,26,0,0.0,3,25.605,754.26,1453.795
1619044,2214393,2013-12-31 00:00:00.000,1,203,738,28,75.54,228.0,8,0,0.0,3,136.8,604.32,1687.2
616488,149202,2013-12-31 00:00:00.000,1,97,1625,22,72.56,219.0,6,0,0.0,2,87.6,435.36,1226.4
488751,1222692,2013-12-31 00:00:00.000,1,297,907,28,52.0,102.0,26,0,0.0,4,81.6,1352.0,2570.4
1686783,2585475,2013-12-31 00:00:00.000,2,199,350,22,203.42,399.0,13,0,0.0,2,159.6,2644.46,5027.4
2265100,3269677,2013-12-31 00:00:00.000,1,123,331,22,101.46,199.0,26,1,199.0,1,39.8,2637.96,5134.2
1567423,2871279,2013-12-31 00:00:00.000,2,307,1282,23,12.74,24.99,78,0,0.0,4,14.994,993.72,1934.226
648105,668953,2013-12-31 00:00:00.000,1,270,175,23,53.76,116.9,13,0,0.0,4,70.14,698.88,1449.56
1651484,2946748,2013-12-31 00:00:00.000,4,310,455,23,304.48,919.0,6,0,0.0,4,551.4,1826.88,4962.6
1651468,2861910,2013-12-31 00:00:00.000,4,310,1361,23,16.56,49.99,6,0,0.0,4,29.994,99.36,269.946
2214567,3394853,2013-12-31 00:00:00.000,1,130,1397,22,12.41,26.99,13,0,0.0,4,21.592,161.33,329.278
648150,761118,2013-12-31 00:00:00.000,1,264,594,23,137.5,299.0,13,0,0.0,4,179.4,1787.5,3707.6
1699855,2659054,2013-12-31 00:00:00.000,1,297,543,28,116.75,229.0,13,0,0.0,1,45.8,1517.75,2931.2
1651430,2433425,2013-12-31 00:00:00.000,4,310,1579,23,72.56,219.0,6,0,0.0,2,65.7,435.36,1248.3
1699845,2520939,2013-12-31 00:00:00.000,1,297,967,28,86.68,188.5,13,0,0.0,2,75.4,1126.84,2375.1
1619062,2245999,2013-12-31 00:00:00.000,1,208,222,28,261.66,569.0,8,0,0.0,3,341.4,2093.28,4210.6
1651377,1992049,2013-12-31 00:00:00.000,4,310,827,23,11.23,33.9,6,0,0.0,3,15.255,67.38,188.145
1651363,1928983,2013-12-31 00:00:00.000,4,310,1020,23,96.08,290.0,6,0,0.0,4,174.0,576.48,1566.0
1699806,1659377,2013-12-31 00:00:00.000,1,297,84,28,45.98,99.99,13,0,0.0,3,59.994,597.74,1239.876
601559,217250,2013-12-31 00:00:00.000,2,199,587,22,760.38,2295.0,6,0,0.0,4,1836.0,4562.28,11934.0
490322,289362,2013-12-31 00:00:00.000,1,269,943,23,21.41,41.99,26,0,0.0,1,6.2985,556.66,1085.4415
1619035,2194527,2013-12-31 00:00:00.000,1,215,347,28,269.48,586.0,8,0,0.0,3,351.6,2155.84,4336.4
490354,387707,2013-12-31 00:00:00.000,1,275,82,23,18.65,40.55,26,0,0.0,1,6.0825,484.9,1048.2175
2214602,3151699,2013-12-31 00:00:00.000,1,22,382,22,195.24,382.95,13,0,0.0,3,229.77,2538.12,4748.58
490833,823472,2013-12-31 00:00:00.000,1,292,262,23,101.46,199.0,26,0,0.0,3,89.55,2637.96,5084.45
490826,802373,2013-12-31 00:00:00.000,1,281,401,23,166.2,326.0,26,0,0.0,3,146.7,4321.2,8329.3
648146,752722,2013-12-31 00:00:00.000,1,280,1379,23,10.58,23.0,13,0,0.0,4,13.8,137.54,285.2
490796,669213,2013-12-31 00:00:00.000,1,264,610,23,55.57,109.0,26,0,0.0,3,49.05,1444.82,2784.95
490722,325740,2013-12-31 00:00:00.000,1,280,988,23,68.06,148.0,26,0,0.0,3,66.6,1769.56,3781.4
490709,291493,2013-12-31 00:00:00.000,1,269,466,23,128.3,279.0,26,0,0.0,3,125.55,3335.8,7128.45
490703,259792,2013-12-31 00:00:00.000,1,254,1215,23,81.57,160.0,26,0,0.0,3,72.0,2120.82,4088.0
648139,733522,2013-12-31 00:00:00.000,1,253,1314,23,94.27,205.0,13,0,0.0,4,123.0,1225.51,2542.0
1653502,1684812,2013-12-31 00:00:00.000,2,307,335,23,287.92,869.0,6,0,0.0,3,391.05,1727.52,4822.95
2214623,3175138,2013-12-31 00:00:00.000,1,145,206,22,261.66,569.0,13,0,0.0,3,341.4,3401.58,7055.6
490609,1517276,2013-12-31 00:00:00.000,1,253,1629,23,5.09,9.99,26,0,0.0,1,1.4985,132.34,258.2415
490580,1363975,2013-12-31 00:00:00.000,1,276,1344,23,8.16,16.0,26,0,0.0,1,2.4,212.16,413.6
490539,1166560,2013-12-31 00:00:00.000,1,294,847,23,7.95,15.6,26,0,0.0,1,2.34,206.7,403.26
490473,861755,2013-12-31 00:00:00.000,1,261,1629,23,5.09,9.99,26,0,0.0,1,1.4985,132.34,258.2415
1619023,2174246,2013-12-31 00:00:00.000,1,249,1158,28,516.86,1560.0,8,0,0.0,3,936.0,4134.88,11544.0
1996067,2718371,2013-12-31 00:00:00.000,2,199,1383,22,6.62,12.99,104,1,12.99,6,15.588,688.48,1335.372
1696568,1660730,2013-12-31 00:00:00.000,1,258,1643,23,26.62,57.88,13,0,0.0,3,26.046,346.06,726.394
936352,1165173,2013-12-31 00:00:00.000,1,103,914,22,44.1,95.9,13,1,95.9,4,76.72,529.2,1169.98
936484,500426,2013-12-31 00:00:00.000,1,170,556,22,254.4,499.0,13,1,499.0,2,199.6,3052.8,6287.4
2018270,2667167,2013-12-31 00:00:00.000,1,157,1537,22,121.93,368.0,6,1,368.0,3,220.8,731.58,1987.2
942916,543749,2013-12-31 00:00:00.000,1,247,311,28,142.24,279.0,32,1,279.0,5,279.0,4551.68,8649.0
2215015,3296428,2013-12-31 00:00:00.000,1,143,100,22,55.18,120.0,13,0,0.0,1,24.0,717.34,1536.0
492116,1152430,2013-12-31 00:00:00.000,4,308,118,22,86.67,169.99,26,0,0.0,2,67.996,2253.42,4351.744
944276,861249,2013-12-31 00:00:00.000,2,307,724,23,74.96,163.0,26,1,163.0,7,171.15,1874.0,4066.85
492092,649311,2013-12-31 00:00:00.000,4,308,1062,22,143.48,312.0,26,0,0.0,2,124.8,3730.48,7987.2
668978,1425050,2013-12-31 00:00:00.000,1,290,1104,22,141.47,427.0,13,0,0.0,3,256.2,1839.11,5294.8
1565962,2870509,2013-12-31 00:00:00.000,2,307,50,23,91.95,199.95,39,0,0.0,7,209.9475,3586.05,7588.1025
2203465,3175954,2013-12-31 00:00:00.000,2,199,633,22,760.38,2295.0,6,0,0.0,4,1836.0,4562.28,11934.0
491949,138800,2013-12-31 00:00:00.000,4,308,277,22,244.72,480.0,26,0,0.0,3,288.0,6362.72,12192.0
669003,1443034,2013-12-31 00:00:00.000,1,81,709,22,53.34,116.0,13,0,0.0,3,69.6,693.42,1438.4
2203804,3369706,2013-12-31 00:00:00.000,2,307,185,23,55.99,169.0,6,0,0.0,4,101.4,335.94,912.6
491903,1047871,2013-12-31 00:00:00.000,4,308,1286,22,39.76,77.99,26,0,0.0,4,62.392,1033.76,1965.348
491823,33327,2013-12-31 00:00:00.000,4,308,73,22,22.05,47.95,26,0,0.0,4,38.36,573.3,1208.34
2214955,3227599,2013-12-31 00:00:00.000,1,142,439,22,257.06,559.0,13,0,0.0,1,111.8,3341.78,7155.2
669050,1487262,2013-12-31 00:00:00.000,1,38,269,22,208.52,409.0,13,0,0.0,3,245.4,2710.76,5071.6
491747,1294945,2013-12-31 00:00:00.000,1,262,879,23,6.63,13.0,26,0,0.0,2,3.9,172.38,334.1
2203355,3312860,2013-12-31 00:00:00.000,4,308,663,22,82.17,248.0,6,0,0.0,4,198.4,493.02,1289.6
2024911,3070602,2013-12-31 00:00:00.000,4,309,459,28,137.6,269.9,16,1,269.9,4,215.92,2201.6,4102.48
2024917,3126370,2013-12-31 00:00:00.000,4,309,446,28,112.14,219.95,16,1,219.95,4,175.96,1794.24,3343.24
1364904,2756487,2013-12-31 00:00:00.000,1,71,357,22,168.24,330.0,26,0,0.0,0,0.0,4374.24,8580.0
668948,1396333,2013-12-31 00:00:00.000,1,23,293,22,229.47,499.0,13,0,0.0,3,299.4,2983.11,6187.6
1996540,2608567,2013-12-31 00:00:00.000,2,199,824,22,6.07,11.9,78,1,11.9,5,11.9,473.46,916.3
648321,1161239,2013-12-31 00:00:00.000,1,267,1083,23,164.63,358.0,13,0,0.0,4,214.8,2140.19,4439.2
1694546,2778750,2013-12-31 00:00:00.000,2,307,347,23,269.48,586.0,13,0,0.0,2,175.8,3503.24,7442.2
1655288,2394802,2013-12-31 00:00:00.000,1,296,692,23,82.17,248.0,6,0,0.0,4,148.8,493.02,1339.2
1655285,2375396,2013-12-31 00:00:00.000,1,302,1590,23,7.58,22.89,6,0,0.0,4,13.734,45.48,123.606
1655274,2316561,2013-12-31 00:00:00.000,1,274,691,23,78.19,236.0,6,0,0.0,4,141.6,469.14,1274.4
492399,147931,2013-12-31 00:00:00.000,1,110,1469,22,91.97,200.0,26,0,0.0,1,40.0,2391.22,5160.0
492374,96726,2013-12-31 00:00:00.000,1,127,414,22,348.58,758.0,26,0,0.0,1,151.6,9063.08,19556.4
1686602,2630143,2013-12-31 00:00:00.000,2,199,265,22,183.54,360.0,13,0,0.0,1,72.0,2386.02,4608.0
492305,1419442,2013-12-31 00:00:00.000,4,308,658,22,69.25,209.0,26,0,0.0,6,250.8,1800.5,5183.2
2024511,2006272,2013-12-31 00:00:00.000,2,307,734,23,68.52,149.0,26,1,149.0,4,89.4,1713.0,3784.6
492186,821519,2013-12-31 00:00:00.000,4,308,6,22,11.0,21.57,26,0,0.0,1,4.314,286.0,556.506
2024528,2202186,2013-12-31 00:00:00.000,2,307,890,23,25.49,50.0,26,1,50.0,4,30.0,662.74,1270.0
492233,1470924,2013-12-31 00:00:00.000,4,308,595,22,83.16,251.0,26,0,0.0,1,50.2,2162.16,6475.8
492232,1468733,2013-12-31 00:00:00.000,4,308,744,22,20.34,39.9,26,0,0.0,1,7.98,528.84,1029.42
2215033,3312587,2013-12-31 00:00:00.000,1,103,370,22,195.24,382.95,13,0,0.0,1,76.59,2538.12,4901.76
668923,1368620,2013-12-31 00:00:00.000,1,120,34,22,48.92,95.95,13,0,0.0,3,57.57,635.96,1189.78
944809,1038740,2013-12-31 00:00:00.000,2,307,1,23,6.62,12.99,52,1,12.99,5,9.7425,344.24,665.7375
492191,875978,2013-12-31 00:00:00.000,4,308,1262,22,18.86,36.99,26,0,0.0,1,7.398,490.36,954.342
944733,483261,2013-12-31 00:00:00.000,2,307,59,23,79.53,156.0,78,1,156.0,5,117.0,6203.34,12051.0
491729,1188799,2013-12-31 00:00:00.000,1,258,803,23,9.13,17.9,26,0,0.0,2,5.37,237.38,460.03
940990,350637,2013-12-31 00:00:00.000,2,307,1087,23,164.63,358.0,13,1,358.0,1,53.7,1975.56,4600.3
940978,202718,2013-12-31 00:00:00.000,2,307,971,23,76.53,231.0,13,1,231.0,4,138.6,918.36,2864.4
491540,482679,2013-12-31 00:00:00.000,1,270,1115,23,150.84,328.0,26,0,0.0,2,98.4,3921.84,8429.6
938541,258284,2013-12-31 00:00:00.000,1,268,937,23,36.33,79.0,13,1,79.0,1,11.85,435.96,1015.15
669138,532825,2013-12-31 00:00:00.000,1,7,383,22,275.46,599.0,13,0,0.0,3,359.4,3580.98,7427.6
2152247,3184462,2013-12-31 00:00:00.000,4,310,2495,23,5.09,9.99,520,0,0.0,0,0.0,2646.8,5194.8
669144,560298,2013-12-31 00:00:00.000,1,86,221,22,275.46,599.0,13,0,0.0,3,359.4,3580.98,7427.6
491555,582261,2013-12-31 00:00:00.000,1,270,836,23,8.11,15.9,26,0,0.0,2,4.77,210.86,408.63
669155,691031,2013-12-31 00:00:00.000,1,108,383,22,275.46,599.0,13,0,0.0,3,359.4,3580.98,7427.6
936780,908936,2013-12-31 00:00:00.000,1,62,1504,22,95.65,208.0,13,1,208.0,3,124.8,1147.8,2579.2
2025761,1976414,2013-12-31 00:00:00.000,2,199,723,22,52.0,102.0,52,1,102.0,4,81.6,2704.0,5222.4
2025817,2860224,2013-12-31 00:00:00.000,2,199,1099,22,164.63,358.0,52,1,358.0,4,286.4,8396.13,18329.6
1618902,1954881,2013-12-31 00:00:00.000,1,248,1554,28,137.04,298.0,8,0,0.0,3,178.8,1096.32,2205.2
936751,671849,2013-12-31 00:00:00.000,1,92,1599,22,26.62,57.88,13,1,57.88,3,34.728,319.44,717.712
645861,1253813,2013-12-31 00:00:00.000,2,307,308,23,229.93,500.0,13,0,0.0,3,225.0,2989.09,6275.0
616698,919946,2013-12-31 00:00:00.000,1,288,1521,22,142.56,310.0,6,0,0.0,2,124.0,855.36,1736.0
491523,439513,2013-12-31 00:00:00.000,1,262,1212,23,91.77,180.0,26,0,0.0,2,54.0,2386.02,4626.0
1364948,2834402,2013-12-31 00:00:00.000,1,78,988,22,68.06,148.0,26,0,0.0,0,0.0,1769.56,3848.0
936630,1396258,2013-12-31 00:00:00.000,1,73,1315,22,94.27,205.0,13,1,205.0,2,82.0,1131.24,2583.0
1654830,3013281,2013-12-31 00:00:00.000,1,7,1546,22,100.06,302.0,6,0,0.0,4,241.6,600.36,1570.4
2025882,1958659,2013-12-31 00:00:00.000,3,200,1135,22,150.84,328.0,52,1,328.0,4,262.4,7843.68,16793.6
938546,283998,2013-12-31 00:00:00.000,1,260,520,23,224.97,679.0,13,1,679.0,1,101.85,2699.64,8725.15
938606,1342447,2013-12-31 00:00:00.000,1,296,544,23,254.4,499.0,13,1,499.0,1,74.85,3052.8,6412.15
938625,208265,2013-12-31 00:00:00.000,1,292,1302,23,43.69,95.0,13,1,95.0,2,28.5,524.28,1206.5
938630,295438,2013-12-31 00:00:00.000,1,257,1024,23,85.95,186.9,13,1,186.9,2,56.07,1031.4,2373.63
1566362,1767753,2013-12-31 00:00:00.000,2,307,1000,23,59.32,129.0,52,0,0.0,1,19.35,3084.64,6688.65
939546,1549551,2013-12-31 00:00:00.000,4,308,219,22,264.72,799.0,13,1,799.0,4,639.2,3176.64,9747.8
648256,996567,2013-12-31 00:00:00.000,1,300,1617,23,26.67,57.99,13,0,0.0,4,34.794,346.71,719.076
939519,1023245,2013-12-31 00:00:00.000,4,308,1601,22,73.57,159.99,13,1,159.99,3,95.994,882.84,1983.876
2214902,3175716,2013-12-31 00:00:00.000,1,188,349,22,195.26,383.0,13,0,0.0,1,76.6,2538.38,4902.4
1655213,1767386,2013-12-31 00:00:00.000,1,277,1560,23,151.76,330.0,6,0,0.0,4,198.0,910.56,1782.0
491673,994265,2013-12-31 00:00:00.000,1,269,548,23,87.37,190.0,26,0,0.0,2,57.0,2271.62,4883.0
939119,1553500,2013-12-31 00:00:00.000,3,200,243,22,208.52,409.0,13,1,409.0,1,81.8,2502.24,5235.2
1566437,2309349,2013-12-31 00:00:00.000,2,307,177,23,29.01,56.9,52,0,0.0,3,25.605,1508.52,2933.195
1566448,2379004,2013-12-31 00:00:00.000,2,307,288,23,101.46,199.0,52,0,0.0,3,89.55,5275.92,10258.45
939034,338653,2013-12-31 00:00:00.000,3,200,532,22,119.11,259.0,13,1,259.0,1,51.8,1429.32,3315.2
2025690,2504244,2013-12-31 00:00:00.000,2,307,130,23,101.97,200.0,52,1,200.0,4,120.0,5302.44,10280.0
938884,1313970,2013-12-31 00:00:00.000,1,252,378,23,348.58,758.0,13,1,758.0,3,341.1,4182.96,9512.9
938839,664442,2013-12-31 00:00:00.000,1,265,1108,23,208.4,629.0,13,1,629.0,3,283.05,2500.8,7893.95
491628,816959,2013-12-31 00:00:00.000,1,276,435,23,137.63,269.95,26,0,0.0,2,80.985,3578.38,6937.715
938690,1435907,2013-12-31 00:00:00.000,1,260,227,23,293.85,639.0,13,1,639.0,2,191.7,3526.2,8115.3
1566510,2934587,2013-12-31 00:00:00.000,2,307,373,23,166.2,326.0,52,0,0.0,4,195.6,8642.4,16756.4
2002594,1701891,2013-12-31 00:00:00.000,4,309,1158,28,516.86,1560.0,8,1,1560.0,1,312.0,3618.02,12168.0
1762394,1845169,2013-12-31 00:00:00.000,4,308,185,22,55.99,169.0,12,0,0.0,4,135.2,671.88,1892.8
1686849,3036214,2013-12-31 00:00:00.000,2,199,776,22,10.99,23.9,13,0,0.0,2,9.56,142.87,301.14
1697817,2816445,2013-12-31 00:00:00.000,1,292,137,23,229.93,499.99,13,0,0.0,2,149.997,2989.09,6349.873
2198214,3398112,2013-12-31 00:00:00.000,1,248,259,28,167.73,329.0,8,0,0.0,4,263.2,1341.84,2368.8
1620197,2738321,2013-12-31 00:00:00.000,1,201,407,28,275.46,599.0,8,0,0.0,4,479.2,2203.68,4312.8
632847,657009,2013-12-31 00:00:00.000,3,200,350,22,203.42,399.0,13,0,0.0,3,239.4,2644.46,4947.6
